"name","city","province","hotel_rating","absolute"
"Extended Stay America - Rockford - I-90","Rockford","IL",2.83333333333333,6
"Fairbridge Inn","Kalispell","MT",2,3
"Fairfield Inn and Suites By Marriott Idaho Falls","Idaho Falls","ID",3,3
"Fairfield Inn and Suites By Marriott Plainville","Plainville","CT",4.6,5
"Fairfield Inn By Marriott Binghamton","Binghamton","Choconut Center",3.85714285714286,7
"Fairfield Inn Saginaw","Saginaw","MI",3,6
"Fh Hotel Villa Fiesole","Ames","IA",4.66666666666667,3
"Fiesta Inn and Suites","San Antonio","TX",1.6969696969697,33
"Fiesta Inn Centro Historico","Bristol","CT",2.57142857142857,7
"Fireside Inn Santa Cruz","Santa Cruz","Paradise Park",2,4
"Gardena Terrace Inn","Gardena","CA",2.625,8
"Good Nite Inn Rohnert Park","Rohnert Park","CA",3.13333333333333,15
"Gran Melia Victoria","Clifton","NJ",3.83333333333333,6
"Grand Hotel Cadenabbia","Griante","CO",3.8,5
"Greenstay Hotel and Suites","Springfield","MO",3.5,2
"Haltom Inn","Haltom City","N Richland Hills",4,1
"Hampton Inn & Suites Fort Worth-west-i-30","Fort Worth","TX",3.55555555555556,9
"Hampton Inn & Suites-downtown-tutwiler","Birmingham","AL",3.125,8
"Hampton Inn Abilene","Abilene","TX",4.16666666666667,6
"Hampton Inn and Suites Annapolis","Annapolis","MD",4.375,8
"Hampton Inn Bloomington West","Bloomington","Covell",3.2,5
"Hampton Inn Dublin","Dublin","VA",3.28571428571429,7
"Hampton Inn Fayetteville Fort Bragg","Fayetteville","Ponderosa",4.25,4
"Hampton Inn Grand Junction Downtown/historic Main Street","Grand Junction","CO",2.75,4
"Hampton Inn New Orleans - Downtown","New Orleans","LA",3,1
"Hampton Inn Roanoke/salem","Salem","Fort Lewis",2,1
"Hampton Inn Sarasota - I-75 Bee Ridge","Sarasota","FL",2.81818181818182,11
"Hampton Inn Tucson-airport","Tucson","Tuscon",4.1,10
"Harrah's Laughlin Hotel and Casino","Laughlin","NV",2.28571428571429,7
"Hawthorn Suites By Wyndham Livermore Wine Country","Livermore","CA",2.16666666666667,6
"Hawthorn Suites Dayton North","Dayton","OH",2,2
"Hilton Garden Inn Austin Nw - Arboretum","Austin","TX",1.66666666666667,3
"Hilton Garden Inn Kauai Wailua Bay","Kapaa","HI",4,1
"Hilton Santo Domingo","New York","NY",2.5,2
"Holiday Inn Canyon De Chelly","Chinle","Cottonwood Station",3.5,2
"Holiday Inn Express - Harrisburg East","Harrisburg","PA",3.1,10
"Holiday Inn Express - Hillsboro","Hillsboro","Orenco",3.16666666666667,6
"Holiday Inn Express & Suites Portland","Portland","Bellefountain",4,1
"Holiday Inn Express and Suites Gahanna/columbus Airport E","Columbus","OH",3,5
"Holiday Inn Express Hotel and Stes Port Clinton-catawba Island","Port Clinton","Middle Bass",2.66666666666667,6
"Holiday Inn Express Hotel and Suites Hesperia","Hesperia","CA",4.25,4
"Holiday Inn Express Hotel and Suites Meadowlands Area","Carlstadt","NJ",3,7
"Holiday Inn Express Hotel and Suites Raleigh-wakefield","Raleigh","NC",3.57142857142857,7
"Holiday Inn Express Hotel and Suites Va Beach Oceanfront","Virginia Beach","VA",3.29411764705882,17
"Holiday Inn Express San Clemente","San Clemente","CA",3.14285714285714,7
"Holiday Inn Fond Du Lac","Fond Du Lac","WI",3.21428571428571,14
"Homewood Suites - Mall of America","Minneapolis","MN",4.5,2
"Hotel Adler Cavalieri","Humeston","IA",3.66666666666667,3
"Hotel An Der Philharmonie","Raymond","IA",3.25,4
"Hotel Aura Sfo","San Bruno","CA",2.5,4
"Hotel Borgo Verde","San Jose","CA",3,1
"Hotel Casena Dei Colli","Palermo","PA",1.83333333333333,6
"Hotel Eug��ne En Ville","Celina","TX",4.33333333333333,3
"Hotel Garibaldi","Silver Creek","GA",5,1
"Hotel Lavonia","Lavonia","GA",2.5,2
"Hotel Metropole","Lithia Springs","GA",3.2,5
"Hotel Portaventura","Stone Creek","OH",2.5,2
"Hotel Relais De Margaux Golf and Spa","Lake Worth","FL",3,6
