positive;negative
true ;smug*
trueness;snob*
truer;sob
truest;sobbed
truly;sobbing
trust*;sobs
truth*;solemn*
useful*;sorrow*
valuabl*;sorry
value;spite*
valued;stammer*
values;stank
valuing;startl*
vigor*;steal*
vigour*;stench*
virtue*;stink*
virtuo*;strain*
vital*;strange
warm*;stress*
wealth*;struggl*
welcom*;stubborn*
well*;stunk
win;stunned
winn*;stuns
wins;stupid*
wisdom;stutter*
wise*;submissive*
won;suck
wonderf*;sucked
worship*;sucker*
worthwhile;sucks
wow*;sucky
yay;suffer
yays;suffered
;sufferer*
;suffering
;suffers
;suspicio*
;tantrum*
;tears
;teas*
;temper
;tempers
;tense*
;tensing
;tension*
;terribl*
;terrified
;terrifies
;terrify
;terrifying
;terror*
;thief
;thieve*
;threat*
;ticked
;timid*
;tortur*
;tough*
;traged*
;tragic* 
;trauma*
;trembl*
;trick*
;trite
;trivi*
;troubl*
;turmoil
;ugh
;ugl*
;unattractive
;uncertain*
;uncomfortabl*
;uncontrol*
;uneas*
;unfortunate*
;unfriendly
;ungrateful*
;unhapp*
;unimportant
;unimpress*
;unkind
;unlov*
;unpleasant
;unprotected
;unsavo*
;unsuccessful*
;unsure*
;unwelcom*
;upset*
;uptight*
;useless* 
;vain
;vanity
;vicious*
;victim*
;vile
;villain*
;violat*
;violent*
;vulnerab*
;vulture*
;war
;warfare*
;warred
;warring
;wars
;weak*
;weapon*
;weep*
;weird*
;wept
;whine*
;whining
;whore*
;wicked*
;wimp*
;witch
;woe*
;worr*
;worse*
;worst
;worthless* 
;wrong*
;yearn*
